"MAKEID","MODELID","ODSMAKEID","ODSMODELID"
"20000053","20000304","20053","21498"
"20000053","20000306","20053","21500"
"20000053","20000484","20053","21678"
"20000053","20000498","20053","21692"
"20000053","20000509","20053","21703"
"20000053","20000513","20053","21707"
"20000053","20000515","20053","21709"
"20000053","20000523","20053","21717"
"20000053","20000554","20053","21748"
"20000053","20000563","20053","21757"
"20000053","20000581","20053","21775"
"20000053","20000602","20053","21797"
"20000053","20000649","20053","21844"
"20000053","20000704","20053","21900"
"20000053","20000731","20053","21927"
"20000053","20000742","20053","21938"
"20000053","20000798","20053","21995"
"20000053","20000806","20053","22003"
"20000053","20000809","20053","22006"
"20000053","20000810","20053","22007"
"20000053","20000813","20053","22010"
"20000053","20000842","20053","22039"
"20000053","20000854","20053","22052"
"20000053","20000860","20053","22058"
"20000053","20000862","20053","22060"
"20000053","20000863","20053","22061"
"20000053","20000869","20053","22067"
"20000053","20000872","20053","22070"
"20000053","20000887","20053","22085"
"20000053","20000893","20053","22091"
"20000053","20000898","20053","22096"
"20000053","20000899","20053","22097"
"20000053","20000906","20053","22104"
"20000053","20000920","20053","22118"
"20000053","20000925","20053","22123"
"20000053","20000926","20053","22124"
"20000053","20000930","20053","22128"
"20000053","20000933","20053","22131"
"20000053","20000957","20053","22155"
"20000053","20000964","20053","22162"
"20000053","20000996","20053","22195"
"20000053","20000998","20053","22197"
"20000053","20001007","20053","22206"
"20000053","20001028","20053","22227"
"20000053","20001044","20053","22243"
"20000053","20001050","20053","22249"
"20000053","20001053","20053","22252"
"20000053","20001071","20053","22270"
"20000053","20001093","20053","22292"
"20000053","20001097","20053","22296"
"20000053","20001146","20053","22345"
"20000053","20001147","20053","22346"
"20000053","20001149","20053","22348"
"20000053","20001154","20053","22353"
"20000053","20001156","20053","22356"
"20000053","20001223","20053","20277"
"20000053","20001257","20053","20311"
"20000053","20001258","20053","20312"
"20000053","20001323","20053","20377"
"20000053","20001396","20053","20451"
"20000053","20001595","20053","20650"
"20000053","20001601","20053","20656"
"20000053","20001610","20053","20667"
"20000053","20001637","20053","20694"
"20000053","20001638","20053","20695"
"20000053","20001642","20053","20699"
"20000053","20001645","20053","20702"
"20000053","20001655","20053","20712"
"20000053","20001676","20053","20733"
"20000053","20001678","20053","20735"
"20000053","20001690","20053","20747"
"20000053","20001713","20053","20770"
"20000053","20001715","20053","20772"
"20000053","20001725","20053","20782"
"20000053","20001736","20053","20793"
"20000053","20001746","20053","20803"
"20000053","20001747","20053","20804"
"20000053","20001748","20053","20805"
"20000053","20001759","20053","20816"
"20000053","20001760","20053","20817"
"20000053","20001766","20053","20824"
"20000053","20001767","20053","20825"
"20000053","20001784","20053","20842"
"20000053","20001785","20053","20843"
"20000053","20001788","20053","20846"
"20000053","20001789","20053","20847"
"20000053","20001796","20053","20854"
"20000053","20001798","20053","20856"
"20000053","20001813","20053","20871"
"20000053","20001817","20053","20875"
"20000053","20001825","20053","20883"
"20000053","20001826","20053","20884"
"20000053","20001830","20053","20888"
"20000053","20001926","20053","20984"
"20000053","20001945","20053","21003"
"20000053","20001946","20053","21004"
"20000053","20001947","20053","21005"
"20000053","20001993","20053","21052"
"20000053","20002006","20053","21065"
"20000053","20002050","20053","21109"
"20000053","20002073","20053","21132"
"20000053","20002099","20053","21158"
"20000053","20002171","20053","21231"
"20000053","20002231","20053","21291"
"20000053","20002237","20053","21297"
