"TRIMID","ODSID","NAME"
"20003232","23958","GS-T"
"20003233","23959","H6-3.0"
"20003234","23960","GSE Aerocoupe"
"20003235","23961","H6-3.0 VDC"
"20003236","23962","GSL SE"
"20003237","23963","GSX"
"20003238","23964","GSX 16V Turbo AWD"
"20003239","23965","GSX Turbo AWD"
"20003240","23966","GT"
"20003241","23967","HCL Series"
"20003242","23968","HEV"
"20003243","23969","GT 4WS"
"20003244","23970","HO"
"20003245","23971","GT Limited"
"20003246","23972","HT"
"20003247","23973","GT Spider"
"20003248","23974","GT Touring"
"20003249","23975","HX"
"20003250","23976","GT V6"
"20003251","23977","Hard Top Enlarged Cab"
"20003252","23978","GT-S Sport"
"20003253","23979","Hardtop 4WD"
"20003254","23980","GT2"
"20003255","23981","Harley-Davidson Crew Cab Super Duty"
"20003256","23982","GT3 RS"
"20003257","23983","GTA"
"20003258","23984","GTC"
"20003259","23985","GTI VR6"
"20003260","23986","Harley-Davidson SuperCab"
"20003261","23987","GTO"
"20003262","23988","Heavy Duty Super"
"20003263","23989","GTS"
"20003264","23990","Heritage"
"20003265","23991","GTS LS"
"20003266","23992","Heritage FX4 Flareside"
"20003267","23993","GTS Premium Sport"
"20003268","23994","Heritage FX4 Styleside"
"20003269","23995","GTU"
"20003270","23996","Heritage FX4 Styleside SuperCrew"
"20003271","23997","GTX"
"20003272","23998","Heritage FX4 SuperCab Flareside"
"20003273","23999","GTZ-V6"
"20003274","24000","Heritage Lariat Styleside SuperCab"
"20003275","24001","GVL"
"20003276","24002","Heritage Lariat SuperCab"
"20003277","24003","Heritage STX"
"20003278","24004","Heritage STX Flareside SuperCab"
"20003279","24005","Heritage STX Styleside SuperCab"
"20003280","24006","Heritage STX SuperCab Flareside"
"20003281","24007","Heritage XL"
"20003282","24008","Heritage XL Styleside"
"20003283","24009","Heritage XL SuperCab"
"20003284","24010","Heritage XLT"
"20003285","24011","Heritage XLT Flareside SuperCab"
"20003286","24012","Heritage XLT Styleside SuperCab"
"20003287","24013","Heritage XLT SuperCab"
"20003288","24014","Heritage XLT SuperCrew"
"20003289","24015","Highline"
"20003290","24016","Hurst"
"20003291","24017","GVX"
"20003292","24018","Hybrid Limited"
"20003293","24019","I-4"
"20003294","24020","GXE"
"20003295","24021","I30"
"20003296","24022","GXL"
"20003297","24023","GXP"
"20003298","24024","Givenchy"
"20003299","24025","Grade"
"20003300","24026","II 4WD"
"20003301","24027","Grade DoubleCab"
"20003302","24028","II Eddie Bauer"
"20003303","24029","Gran"
"20003304","24030","II LX Limited"
"20003305","24031","Gran Salon"
"20003306","24032","II PJ"
"20003307","24033","Grand National"
"20003308","24034","II Turbo"
"20003309","24035","Grand Touring"
"20003310","24036","II XS"
"20003311","24037","Grand Touring Targa"
"20003312","24038","III GL"
"20003313","24039","Green Label"
"20003314","24040","III Vanden Plas"
"20003315","24041","H/D"
"20003316","24042","IROC R/T"
"20003317","24043","IX"
"20003318","24044","Islander"
"20003319","24045","JA Soft Top"
"20003320","24046","JL Soft Top"
"20003321","24047","JLS+"
"20003322","24048","H/D Classic"
"20003323","24049","JLX 4WD"
"20003324","24050","H/D Crew Cab Classic"
"20003325","24051","JLX Limited Edition"
"20003326","24052","H/D Extended Cab Classic"
"20003327","24053","JLX+"
"20003328","24054","H/D Super"
"20003329","24055","JS Hard Top"
"20003330","24056","H6-3.0"
"20003331","24057","JX"
"20003332","24058","H6-3.0 L.L. Bean Edition"
"20003333","24059","JX Hard Top"
"20003334","24060","HC Series"
"20003335","24061","JX Soft Top"
"20003336","24062","HE"
"20003337","24063","HF"
"20003338","24064","HSE"
"20003339","24065","HT Special Edition"
"20003340","24066","John Cooper Works"
"20003341","24067","Hard Top"
"20003342","24068","Journey"
"20003343","24069","Hard Top Recruit"
"20003344","24070","K1500"
"20003345","24071","Harley-Davidson Crew Cab"
"20003346","24072","K1500 Extended Cab"
"20003347","24073","Harley-Davidson Edition"
"20003348","24074","K1500 Extended Cab SL"
"20003349","24075","Heavy Duty"
"20003350","24076","Hemi"
"20003351","24077","K1500 Extended Cab SLT"
"20003352","24078","Heritage FX4"
"20003353","24079","K1500 HD Crew Cab LS"
"20003354","24080","Heritage FX4 Flareside SuperCab"
"20003355","24081","K1500 HD Crew Cab SLE"
"20003356","24082","Heritage FX4 Styleside SuperCab"
"20003357","24083","Heritage FX4 SuperCab"
"20003358","24084","Heritage FX4 SuperCrew"
"20003359","24085","Heritage Lariat Styleside SuperCrew"
"20003360","24086","Heritage Lightning Flareside"
