"MODELID","ODSID","NAME"
"20000205","21398","MA"
"20000206","21399","Liberty"
"20000207","21401","Limited"
"20000208","21402","MGB"
"20000209","21403","MKS"
"20000210","21404","MKZ"
"20000211","21405","MR2"
"20000212","21406","Lucerne"
"20000213","21407","MX-3"
"20000214","21408","Lumina APV"
"20000215","21409","MXT"
"20000216","21410","Lynx"
"20000217","21411","Magnum"
"20000218","21412","M-2"
"20000219","21413","Malibu"
"20000220","21414","M-Class"
"20000221","21415","Malibu Maxx"
"20000222","21416","M30"
"20000223","21417","Manhattan"
"20000224","21418","M45"
"20000225","21419","Marathon"
"20000226","21420","M6"
"20000227","21421","Mariner"
"20000228","21422","MDX"
"20000229","21423","MGA"
"20000230","21424","MGC"
"20000231","21425","MKX"
"20000232","21426","Mark"
"20000233","21427","MPV"
"20000234","21428","Mark III"
"20000235","21429","MW"
"20000236","21430","Mark IX"
"20000237","21431","MX-6"
"20000238","21432","Mark V"
"20000239","21433","Magnette"
"20000240","21434","Mark VII"
"20000241","21435","Mainline"
"20000242","21436","Mark X"
"20000243","21437","Malibu Classic"
"20000244","21438","Marquette"
"20000245","21439","Mangusta"
"20000246","21440","Master"
"20000247","21441","Manta"
"20000248","21442","Master Deluxe"
"20000249","21443","Master Six"
"20000250","21444","Matrix"
"20000251","21445","Maxima"
"20000252","21446","Mazda3"
"20000253","21447","Mazda6"
"20000254","21448","MazdaSpeed Protege"
"20000255","21449","Marauder"
"20000256","21450","MazdaSpeed6"
"20000257","21451","Mariner Hybrid"
"20000258","21452","Medalist"
"20000259","21453","Mark II"
"20000260","21454","Merak"
"20000261","21455","Mark IV"
"20000262","21456","Meteor"
"20000263","21457","Mark LT"
"20000264","21458","Metropolitan"
"20000265","21459","Mark VI"
"20000266","21460","MX-5 Miata"
"20000267","21461","Mark VIII"
"20000268","21462","Midget"
"20000269","21463","Milano"
"20000270","21464","Mini"
"20000271","21465","Minivan"
"20000272","21466","Mirage"
"20000273","21467","Miura"
"20000274","21468","Model 01A"
"20000275","21469","Model 1-38"
"20000276","21470","Model 10"
"20000277","21471","Marlin"
"20000278","21472","Model 10-C"
"20000279","21473","Marquis"
"20000280","21474","Model 11-B"
"20000281","21475","Master 85"
"20000282","21476","Model 130"
"20000283","21477","Master Eagle"
"20000284","21478","Model 137"
"20000285","21479","Matador"
"20000286","21480","Model 145"
"20000287","21481","Maverick"
"20000288","21482","Model 16"
"20000289","21483","Model 18"
"20000290","21484","Model 1BA"
"20000291","21485","Model 1HA"
"20000292","21486","Mayflower"
"20000293","21487","Model 20"
"20000294","21488","Mazda5"
"20000295","21489","Model 21A"
"20000296","21490","MazdaSpeed Miata MX-5"
"20000297","21491","Model 23"
"20000298","21492","MazdaSpeed3"
"20000299","21493","Model 25"
"20000300","21494","Meadowbrook"
"20000301","21495","Model 27"
"20000302","21496","Medallion"
"20000303","21497","Model 29"
"20000304","21498","Mercury"
"20000305","21499","Model 3-38"
"20000306","21500","Metro"
"20000307","21501","Model 30"
"20000308","21502","Mexico"
"20000309","21503","Microbus"
"20000310","21504","Milan"
"20000311","21505","Millenia"
"20000312","21506","Mini Ram"
"20000313","21507","Mirada"
"20000314","21508","Mistral"
"20000315","21509","Mizer"
"20000316","21510","Model 30-A"
"20000317","21511","Model 022A"
"20000318","21512","Model 30-C"
"20000319","21513","Model 1-48"
"20000320","21514","Model 30-E"
"20000321","21515","Model 10-B"
"20000322","21516","Model 30U"
"20000323","21517","Model 11-A"
"20000324","21518","Model 32"
"20000325","21519","Model 11A"
"20000326","21520","Model 34"
"20000327","21521","Model 135"
"20000328","21522","Model 36"
"20000329","21523","Model 37-A"
"20000330","21524","Model 38"
